ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G31033,G31000,Pernersdorf,
NR2017,G31035,G31000,Pulkau,
NR2017,G31036,G31000,Ravelsbach,
NR2017,G31037,G31000,Retz,
NR2017,G31038,G31000,Retzbach,
NR2017,G31041,G31000,Schrattenthal,
NR2017,G31042,G31000,Seefeld-Kadolz,
NR2017,G31043,G31000,Sitzendorf an der Schmida,
NR2017,G31051,G31000,Wullersdorf,
NR2017,G31052,G31000,Zellerndorf,
NR2017,G31053,G31000,Ziersdorf,
NR2017,G31099,G31000,Wahlkarten - Hollabrunn,
NR2017,G31100,G3B000,Horn,
NR2017,G31101,G31100,Altenburg,
NR2017,G31102,G31100,Brunn an der Wild,
NR2017,G31103,G31100,Burgschleinitz-Kühnring,
NR2017,G31104,G31100,Drosendorf-Zissersdorf,
NR2017,G31105,G31100,Eggenburg,
NR2017,G31106,G31100,Gars am Kamp,
NR2017,G31107,G31100,Geras,
NR2017,G31109,G31100,Horn,
NR2017,G31110,G31100,Irnfritz-Messern,
NR2017,G31111,G31100,Japons,
NR2017,G31113,G31100,Langau,
NR2017,G31114,G31100,Meiseldorf,
NR2017,G31117,G31100,Pernegg,
NR2017,G31119,G31100,Röhrenbach,
NR2017,G31120,G31100,Röschitz,
NR2017,G31121,G31100,Rosenburg-Mold,
NR2017,G31123,G31100,St. Bernhard-Frauenhofen,
NR2017,G31124,G31100,Sigmundsherberg,
NR2017,G31129,G31100,Weitersfeld,
NR2017,G31130,G31100,Straning-Grafenberg,
